policy,network,seed,rmse_total,iae_total,violation_pct,violation_mag,transmissions,bytes_sent,energy_mj,channel_loss_pct,congestion_drops,avg_aoi,max_aoi,fairness,rmse_temperature,rmse_humidity,rmse_co2,rmse_soil_moisture
error_trigger,good,2035,0.09579406226123234,29.89282811744018,10.555555555555555,1.7151290976582714,720,12856,1650.72,0.0,720,4.124305555555556,36.0,0.8016028411013,0.3070747782887065,0.022957316424122704,0.02296857487340212,0.03017557945869805
aoi,good,2035,0.09640743908446446,29.818436116070203,11.666666666666666,2.0883566668986893,720,12960,1663.2,0.0,718,1.4986111111111111,2.0,0.9999991410442162,0.30946387068909087,0.02308774411508185,0.02275355901082683,0.03032458252285829
risk,good,2035,0.13415210097071378,41.65981491174682,10.277777777777779,1.688870155711692,198,3566,535.92,0.0,0,129.09305555555557,360.0,0.7567967462419425,0.29595276322845443,0.10411542257674232,0.03062755302950154,0.1059126650481568
cvoi,good,2035,0.0957375812573815,29.73898479123386,10.555555555555555,1.7160741593788216,718,12916,1657.9199999999998,0.0,718,1.6465277777777776,4.0,0.9771131986967803,0.3068760395064229,0.023244457745090617,0.02266120308054576,0.030168624697466742
periodic_all,good,2036,0.11377535331797176,35.340804850379435,10.0,1.8955268268296321,720,12960,1663.2,0.0,720,90.75,360.0,0.5055399961634356,0.3084197547039938,0.02274439262999037,0.044648613393720955,0.07928865254418188
round_robin,good,2036,0.09783358123291816,30.003215418689845,10.555555555555555,2.623968000410372,720,12960,1663.2,0.0,720,1.7472222222222222,3.0,0.9999974724420059,0.31420911344593905,0.022916144326652812,0.024152854201630578,0.03005621295745022
error_trigger,good,2036,0.09644470272222602,29.97249293682227,10.0,1.8955268268296321,720,12836,1648.32,0.0,720,3.78125,25.0,0.813925074589453,0.3084197547039938,0.023051496347879553,0.02489103719785663,0.02941652263917409
aoi,good,2036,0.09660364402094979,29.71410758697982,11.38888888888889,2.2869317970047454,720,12960,1663.2,0.0,718,1.4986111111111111,2.0,0.9999991410442162,0.310617885097125,0.02278692560389701,0.024088125475344956,0.028921639907432167
risk,good,2036,0.12158883650991212,36.75146059647732,10.0,1.8697644781287606,197,3550,534.0,0.0,0,123.50833333333333,360.0,0.7462567160307518,0.29568285492246005,0.08114127559043086,0.030242562982575733,0.07928865254418188
cvoi,good,2036,0.09614151641813505,29.74073183732195,10.0,1.8955492221069759,718,12914,1657.6799999999998,0.0,718,1.6493055555555556,4.0,0.9763535711321928,0.30818817438726714,0.023000936905134113,0.024446235114027944,0.028930719266111026
periodic_all,good,2037,0.10161724706751993,31.7754630476596,10.555555555555555,1.8577290286549917,720,12960,1663.2,0.0,720,90.75,360.0,0.5055399961634356,0.30963173958438683,0.021101447655758818,0.027952766446427586,0.04778303458350644
round_robin,good,2037,0.09676885209187487,29.828022931672635,11.11111111111111,2.52327500233032,720,12960,1663.2,0.0,720,1.7472222222222222,3.0,0.9999974724420059,0.3151960115128987,0.021452055356367825,0.02274821749522165,0.027679124003011275
error_trigger,good,2037,0.09529679303006768,29.760518281995015,10.555555555555555,1.8577290286549917,720,12778,1641.36,0.0,720,3.988194444444445,35.0,0.8162786490287733,0.30963173958438683,0.021433061880413416,0.022811763095040894,0.02731060756042951
aoi,good,2037,0.09572987308486293,29.649841209025674,11.666666666666666,2.204531917201317,720,12960,1663.2,0.0,718,1.4986111111111111,2.0,0.9999991410442162,0.31191868360942987,0.021351155970784283,0.02237713868106346,0.027272514078174086
risk,good,2037,0.10319690389879096,31.07533239461207,10.277777777777779,1.832472474620849,196,3528,531.3599999999999,0.0,0,136.38680555555555,360.0,0.7611254842764167,0.2977664074022379,0.03928540716299187,0.027952766446427586,0.04778303458350644
cvoi,good,2037,0.09523601301982042,29.63883232923,10.555555555555555,1.8619394068029016,718,12916,1657.9199999999998,0.0,718,1.6465277777777778,4.0,0.9774257946783271,0.3095784276496577,0.021469279600236566,0.02278506749114919,0.027111277338238194
periodic_all,good,2038,0.10801438149732,33.41814289706082,11.11111111111111,1.7168348178526212,720,12960,1663.2,0.0,720,90.75,360.0,0.5055399961634356,0.308172182887132,0.022232110434703436,0.05117393358131412,0.05047929908613046
round_robin,good,2038,0.09792233775428605,30.031660595444762,11.11111111111111,2.2612582313876888,720,12960,1663.2,0.0,720,1.7472222222222222,3.0,0.9999974724420059,0.3129923002543483,0.022620774814336914,0.030295596175954786,0.02578067977250419
error_trigger,good,2038,0.09645075082240187,29.92221534253747,11.11111111111111,1.7168348178526212,720,12972,1664.6399999999999,0.0,720,4.536111111111111,44.0,0.7047989668070987,0.308172182887132,0.02036107040042401,0.030257577756606185,0.02701217224544529
aoi,good,2038,0.09716720232112303,29.924925411427367,11.38888888888889,2.0830576762709603,720,12960,1663.2,0.0,718,1.4986111111111111,2.0,0.9999991410442162,0.3105389648069244,0.022332077386180697,0.02983758261328572,0.025960184478101257
risk,good,2038,0.12970402149285784,39.211987211030724,10.555555555555555,1.6968463201901396,216,3890,574.8,0.0,0,71.15694444444445,360.0,0.4944044560071478,0.29521477751547887,0.13331128732862413,0.03981072204119792,0.05047929908613046
cvoi,good,2038,0.09660068540549056,29.898000700774112,11.11111111111111,1.7166939788131574,718,12926,1659.12,0.0,718,1.6444444444444446,4.0,0.9773676409055271,0.3079671386471892,0.02229274434321725,0.030076493770569635,0.026066364860986128
periodic_all,good,2039,0.10549745695883872,32.764907200038394,10.555555555555555,1.735339920327323,720,12960,1663.2,0.0,720,90.75,360.0,0.5055399961634356,0.30810964111369915,0.02157874654287578,0.038896039643542615,0.05340540053523732
round_robin,good,2039,0.09744953411529014,30.102985475113513,11.11111111111111,2.419830976206321,720,12960,1663.2,0.0,720,1.7472222222222222,3.0,0.9999974724420059,0.31334965838697404,0.021748909987234184,0.021648560631809338,0.03305100745514303
error_trigger,good,2039,0.09597877958999265,29.953012273836027,10.555555555555555,1.735339920327323,720,12780,1641.6,0.0,720,3.8486111111111114,28.0,0.7886611258794843,0.30810964111369915,0.02098230646665386,0.022620399610095397,0.032202771169522276
aoi,good,2039,0.09662075815477472,29.96056481233799,11.666666666666666,2.1435079257119503,720,12960,1663.2,0.0,718,1.4986111111111111,2.0,0.9999991410442162,0.3106824601805382,0.02165654909293729,0.021452059697935663,0.03269196364768773
risk,good,2039,0.10679606760853214,31.648541329796704,10.555555555555555,1.7052425675604397,189,3404,516.48,0.0,0,129.83819444444444,360.0,0.7589704195546618,0.29385967115501693,0.043048656727480365,0.036870542016393906,0.05340540053523732
cvoi,good,2039,0.09615995631927284,29.9741024572778,10.555555555555555,1.737364168609877,718,12916,1657.9199999999998,0.0,718,1.6465277777777778,4.0,0.9772912179810368,0.30808151511758014,0.021857864498885392,0.02165426360996479,0.033046182050661024
periodic_all,good,2040,0.17590869663341524,58.473252206494934,10.0,1.8321648328016056,720,12960,1663.2,0.0,720,90.75,360.0,0.5055399961634356,0.3096939439383967,0.022193597481780597,0.03292967012484316,0.33881757498864046
round_robin,good,2040,0.09843997172435733,30.268193036502375,11.11111111111111,2.4346811580606724,720,12960,1663.2,0.0,720,1.7472222222222222,3.0,0.9999974724420059,0.31578275617795304,0.02247638683764866,0.02826687786683263,0.027233866014994994
error_trigger,good,2040,0.09742114128307161,30.242278788515573,10.0,1.8321648328016056,720,12964,1663.6799999999998,0.0,720,3.7986111111111107,31.0,0.8183045502242816,0.3096939439383967,0.02229987466746308,0.028593611094707094,0.02909713543171956
aoi,good,2040,0.09737706348331078,30.066849372203773,10.833333333333334,2.16671637328829,720,12960,1663.2,0.0,718,1.4986111111111111,2.0,0.9999991410442162,0.31161119907712836,0.02234632245483139,0.02848638967051245,0.027064342730770945
risk,good,2040,0.1476665661473824,45.598968519081424,10.0,1.8063529726678538,205,3656,546.72,0.0,0,95.21597222222222,360.0,0.5543420127130723,0.2957446092010096,0.09789978845563306,0.03292967012484316,0.16409219680804385
cvoi,good,2040,0.0969431022991388,30.072124225814886,10.0,1.8330329909363794,719,12930,1659.6,0.0,718,1.6458333333333333,4.0,0.9773974766919228,0.3095225194191437,0.022395432068035907,0.02843404476432193,0.02742041294505365
periodic_all,good,2041,0.14115813560839607,45.65056895710636,10.277777777777779,1.7088191600754024,720,12960,1663.2,0.0,720,90.75,360.0,0.5055399961634356,0.30750242614397777,0.023642252751343882,0.03033392090515495,0.20315394263310765
round_robin,good,2041,0.10003259475640064,30.563809964840956,10.833333333333334,2.3413565879336957,720,12960,1663.2,0.0,720,1.7472222222222222,3.0,0.9999974724420059,0.3132519976692458,0.023797585994840546,0.028758402086039074,0.034322393275477175
error_trigger,good,2041,0.09849294406044132,30.50661711327872,10.277777777777779,1.7088191600754024,720,12878,1653.36,0.0,720,3.4416666666666664,26.0,0.8082930118143393,0.30750242614397777,0.023483890058655088,0.02944349661039021,0.03354196342874221
aoi,good,2041,0.09899694511687898,30.389437120041258,11.666666666666666,2.090150753812388,720,12960,1663.2,0.0,718,1.4986111111111111,2.0,0.9999991410442162,0.31012309847846176,0.023840324531040576,0.028345214038566123,0.033679143419447485
risk,good,2041,0.15775506511178877,49.025679292689034,9.444444444444445,1.6793586927350748,223,3990,586.8,0.0,0,57.70625,358.0,0.4029882907662152,0.2936486035260132,0.1441479222726711,0.03033392090515495,0.16288981374331582
cvoi,good,2041,0.09842338072428086,30.37042884074386,10.277777777777779,1.7084383815646085,719,12930,1659.6,0.0,718,1.6472222222222221,4.0,0.9777329820512025,0.30728349755532686,0.023766504315961393,0.02857491237665093,0.03406860864918424
periodic_all,good,2042,0.14083514092585203,45.9026380676747,10.833333333333334,1.748738673673436,720,12960,1663.2,0.0,720,90.75,360.0,0.5055399961634356,0.3088114653169203,0.02196906310396159,0.02858465151081562,0.20397538377171065
round_robin,good,2042,0.0977450535622908,29.9560879389633,11.11111111111111,2.381790828065735,720,12960,1663.2,0.0,720,1.7472222222222222,3.0,0.9999974724420059,0.31374195762646917,0.02245300577965167,0.025557307899939208,0.029227942943103137
error_trigger,good,2042,0.09627523262290923,29.921391312246172,10.833333333333334,1.748738673673436,720,12884,1654.08,0.0,720,3.604861111111111,30.0,0.8149967184126925,0.3088114653169203,0.021955719379726773,0.02575968970162849,0.028574056093361347
aoi,good,2042,0.09692104025329976,29.80546922309237,11.666666666666666,2.1374716195422514,720,12960,1663.2,0.0,718,1.4986111111111111,2.0,0.9999991410442162,0.3111258388648737,0.022110221881274407,0.02556905662344487,0.02887904364360602
risk,good,2042,0.1418440750394672,43.4693882055895,10.555555555555555,1.7111906057591968,208,3712,553.44,0.0,0,95.03541666666666,360.0,0.555231741456447,0.294375005276598,0.08960115688418356,0.02858465151081562,0.1548154864862716
