policy,network,seed,rmse_total,iae_total,violation_pct,violation_mag,transmissions,bytes_sent,energy_mj,channel_loss_pct,congestion_drops,avg_aoi,max_aoi,fairness,rmse_temperature,rmse_humidity,rmse_co2,rmse_soil_moisture,rmse_light,rmse_ventilation
aoi,good,2029,0.20090283221148075,55.19530662918543,50.55555555555556,58.36947629691353,360,6480,885.6,0.0,1795,3.4837962962962963,6.0,0.9999941899410718,0.5666768890497077,0.02245052935003997,0.035645001597729375,0.037100924440765334,0.3864963058328608,0.15704734299778123
risk,good,2029,0.23145079646913572,63.879391744317864,30.555555555555557,28.954577377913996,282,5034,712.0799999999999,0.0,325,87.5324074074074,360.0,0.5897005405536826,0.2946550357432092,0.0562228647852712,0.03756461447845061,0.28499245230601417,0.3866777342112089,0.3285920772906603
cvoi,good,2029,0.19030996925495303,50.06674561286607,30.833333333333332,21.697644517961663,359,6456,882.72,0.0,1765,11.437962962962963,73.0,0.8883539610095881,0.313990532385646,0.030723460232124643,0.036277745581752584,0.08245912463596108,0.3871558482736045,0.29125310442062935
periodic_all,good,2030,0.2766046959091711,84.23034463690699,86.11111111111111,50.831327907702544,360,6480,885.6,0.0,1800,150.58333333333334,360.0,0.8351759516315246,0.34423954528773304,0.05503068780092239,0.042083829147358344,0.5005751283961133,0.413287375869464,0.3044116089534355
round_robin,good,2030,0.19170152740761293,53.23054663410236,45.27777777777778,46.37307818590822,360,6480,885.6,0.0,1800,3.483796296296296,6.0,0.9999941899410716,0.5025967238263168,0.020541831785171508,0.03955930393168407,0.038515685280014214,0.3930117750818793,0.15598384454061173
error_trigger,good,2030,0.20808690745755443,56.51093759196107,32.5,21.503753919316637,360,6454,882.48,0.0,1800,77.84768518518518,360.0,0.5281278390967086,0.31178731745397836,0.05503068780092239,0.042083829147358344,0.17897514666223643,0.393567985134616,0.26707647854621486
aoi,good,2030,0.2025926884881486,56.12037006954304,52.5,59.23983977272566,360,6480,885.6,0.0,1795,3.4837962962962963,6.0,0.9999941899410718,0.5676023644284809,0.020823105306025824,0.03908651765241388,0.039280997523009294,0.3927213581103832,0.1560417879085784
risk,good,2030,0.2175975172089053,60.901011182008006,31.944444444444443,21.018676856270652,287,5132,723.84,0.0,308,82.05601851851851,360.0,0.5644146703896952,0.3046917549708286,0.05503068780092239,0.042083829147358344,0.21978932151450795,0.39316146689501763,0.290828042924797
cvoi,good,2030,0.18479475058197314,49.791624060249546,32.22222222222222,19.728235469653285,360,6476,885.12,0.0,1775,12.369907407407405,77.0,0.8795074960287177,0.3200552749185153,0.03920902318791321,0.05282111250071603,0.058474192011344954,0.39323623300326405,0.24497266787008523
periodic_all,good,2031,0.21071330028500226,59.78935294090437,35.55555555555556,23.834573633884705,360,6480,885.6,0.0,1800,150.58333333333334,360.0,0.8351759516315246,0.3449594833352265,0.04661430811446908,0.06418909355883273,0.09133103310251664,0.4005638011686615,0.3166220824303072
