plant,network,policy,n_completed,nrmse_mean,nrmse_sd,nrmse_ci_low,nrmse_ci_high,violation_pct_mean,violation_pct_sd,violation_pct_ci_low,violation_pct_ci_high,transmissions_mean,transmissions_sd,transmissions_ci_low,transmissions_ci_high,total_modeled_energy_mj_mean,total_modeled_energy_mj_sd,total_modeled_energy_mj_ci_low,total_modeled_energy_mj_ci_high,command_applied_pct_mean,command_applied_pct_sd,command_applied_pct_ci_low,command_applied_pct_ci_high,deadline_miss_pct_mean,deadline_miss_pct_sd,deadline_miss_pct_ci_low,deadline_miss_pct_ci_high
greenhouse,N2_iid_loss,TT-MPC,50,0.39758593322658053,0.001300417788622476,0.3972163585802233,0.39795550787293776,43.22222222222223,0.19828865169947196,43.16586921092875,43.27857523351571,288.0,0.0,288.0,288.0,1684.979759997082,17.905378139191768,1679.8911078334618,1690.0684121607023,86.79861111111111,1.769783991706069,86.29564406576156,87.30157815646066,0.0,0.0,0.0,0.0
greenhouse,N2_iid_loss,TT-PI,50,0.5023380812123905,0.0004894227844835503,0.5021989887960323,0.5024771736287488,36.96180555555556,0.3765433147492317,36.85479312954589,37.068817981565225,288.0,0.0,288.0,288.0,3190.033567393389,17.444306389809693,3185.075950371101,3194.9911844156773,86.79861111111111,1.769783991706069,86.29564406576156,87.30157815646066,0.0,0.0,0.0,0.0
greenhouse,N3_burst_loss,ET-MPC,50,0.3974077063123116,0.002501475242700135,0.3966967949142358,0.39811861771038737,43.21875,0.14208517447819977,43.17836984020073,43.25913015979927,91.18,4.5296753949564055,89.89268049633702,92.46731950366299,1052.9061119989349,22.717859445294106,1046.4497677809884,1059.3624562168814,76.14114669022484,5.448553359994987,74.59268495831357,77.68960842213612,0.0,0.0,0.0,0.0
greenhouse,N3_burst_loss,ET-PI,50,0.5018377193609037,0.0005588172770349789,0.5016789052479736,0.5019965334738338,36.847222222222214,0.4053523354725087,36.732022363113074,36.962422081331354,91.46,4.036618103596836,90.31280582812063,92.60719417187936,2536.216896404652,24.137052270780636,2529.3572220483597,2543.076570760944,76.32762813053937,5.125174188091952,74.87106974241576,77.78418651866298,0.0,0.0,0.0,0.0
greenhouse,N3_burst_loss,TT-MPC,50,0.3971760086284805,0.0017815216376660388,0.3966697057810582,0.3976823114759028,43.215277777777786,0.13048557974172534,43.17819418632765,43.25236136922792,288.0,0.0,288.0,288.0,1730.0064239968183,24.7614390280414,1722.9693008874997,1737.0435471061369,77.89583333333333,2.726469524892734,77.12097926775388,78.67068739891278,0.0,0.0,0.0,0.0
greenhouse,N3_burst_loss,TT-PI,50,0.50209525830694,0.0004612624142533138,0.5019641689792509,0.5022263476346291,36.97916666666667,0.3454461378269878,36.8809919605531,37.077341372780246,288.0,0.0,288.0,288.0,3232.252050762588,24.636407743453102,3225.250461151188,3239.253640373988,77.89583333333333,2.726469524892734,77.12097926775388,78.67068739891278,0.0,0.0,0.0,0.0
greenhouse,N4_contention_duty,ET-MPC,50,0.3972273876982856,0.0020455888285046252,0.3966460377855874,0.3978087376109838,43.24652777777777,0.18642480627942604,43.19354643404676,43.299509121508784,94.88,4.108925079156646,93.71225641303613,96.04774358696386,1177.4015200013228,23.300380025101322,1170.7796252663334,1184.0234147363121,71.07061889588624,3.836066103719729,69.98042097173534,72.16081682003714,0.0,0.0,0.0,0.0
greenhouse,N4_contention_duty,ET-PI,50,0.5018589953757788,0.0006338788313991648,0.5016788490051298,0.5020391417464278,36.83680555555556,0.35195540965688876,36.736780934856355,36.93683017625476,95.32,4.6879785470011335,93.98769123831083,96.65230876168916,2652.707746215223,33.49198482086258,2643.189429444823,2662.226062985623,71.03348021613319,4.418065396834034,69.77787992297846,72.28908050928791,0.0,0.0,0.0,0.0
greenhouse,N4_contention_duty,TT-MPC,50,0.3974991500288111,0.0023905544940385904,0.39681976195871416,0.398178538098908,43.246527777777786,0.19918624013156033,43.18991967467438,43.30313588088119,288.0,0.0,288.0,288.0,2069.961440003839,42.62698706577239,2057.8469843204894,2082.0758956871887,70.90972222222223,2.4464877083185788,70.21443810850913,71.60500633593533,0.0,0.0,0.0,0.0
greenhouse,N4_contention_duty,TT-PI,50,0.5020002658816538,0.0005871244453973967,0.5018334069604872,0.5021671248028204,36.95138888888889,0.3407127928784611,36.854559384525665,37.04821839325212,288.0,0.0,288.0,288.0,3571.2447550429824,42.636206172526286,3559.127679318483,3583.361830767482,70.90972222222223,2.4464877083185788,70.21443810850913,71.60500633593533,0.0,0.0,0.0,0.0
greenhouse,N5_full_stress,ET-MPC,50,0.3995240819306039,0.010842287612687454,0.3964427378846978,0.40260542597651,42.37847222222223,1.5643688433232248,41.93388351611428,42.82306092833018,186.92,9.171473075103417,184.31349619179184,189.52650380820813,2137.691800004083,85.91869694789091,2113.2739765032015,2162.109623504964,18.39848815928333,2.791279087934851,17.605215419681254,19.191760898885402,0.0,0.0,0.0,0.0
greenhouse,N5_full_stress,ET-PI,50,0.4989367823416927,0.0034271979803911327,0.4979627834525042,0.4999107812308812,36.604166666666664,0.796250701818298,36.37787472102364,36.83045861230969,191.64,12.918520165456496,187.96859719131908,195.3114028086809,3641.730272424381,124.88847673921768,3606.237360047444,3677.223184801318,18.36997819111182,2.917838269527557,17.540737730066986,19.199218652156652,0.0,0.0,0.0,0.0
greenhouse,N5_full_stress,TT-MPC,50,0.39937146929886164,0.01158434448304667,0.3960792350238005,0.4026637035739228,42.42708333333334,1.62214136630455,41.96607585786004,42.888090808806645,288.0,0.0,288.0,288.0,2895.345000006478,51.8160027671706,2880.61905495569,2910.0709450572663,18.145833333333336,2.5105381478904283,17.432346286100803,18.85932038056587,0.0,0.0,0.0,0.0
greenhouse,N5_full_stress,TT-PI,50,0.4989172089362522,0.0036909679640161055,0.4978682474471433,0.49996617042536107,36.58680555555556,0.7810019447468826,36.36484725872244,36.80876385238867,288.0,0.0,288.0,288.0,4369.730997613156,67.54619852112624,4350.534580392762,4388.927414833551,18.145833333333336,2.5105381478904283,17.432346286100803,18.85932038056587,0.0,0.0,0.0,0.0
irrigation,N0_ideal,ET-MPC,50,0.3811788213860575,0.10453670747882318,0.351469817836699,0.41088782493541604,20.113095238095237,12.60922678105985,16.529592636685486,23.69659783950499,284.06,6.453633686157128,282.22589759987284,285.89410240012717,1536.8944216044401,136.06009802689502,1498.2265695867559,1575.5622736221244,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
