plant,network,contrast,metric,n_pairs,mean_difference,sd_difference,ci95_low,ci95_high,p_value,cohen_dz,probability_A_better,better_direction,crn_gate,holm_family,p_value_holm
greenhouse,N5_full_stress,ET-PI_minus_TT-PI,total_modeled_energy_mj,50,-728.0007251887768,100.2185779562024,-756.4825299061831,-699.5189204713704,2.8165035131881897e-44,-7.264129466164729,1.0,lower,True,network_metric:N5_full_stress:total_modeled_energy_mj,8.449510539564569e-44
greenhouse,N5_full_stress,ET-PI_minus_TT-PI,command_applied_pct,50,0.2241448577784832,1.520850650482927,-0.2080761147673999,0.6563658303243662,0.30246016017973637,0.14738124200907488,0.52,higher,True,network_metric:N5_full_stress:command_applied_pct,1.0
greenhouse,N5_full_stress,ET-PI_minus_TT-PI,deadline_miss_pct,50,0.0,0.0,0.0,0.0,,,0.0,lower,True,network_metric:N5_full_stress:deadline_miss_pct,1.0
irrigation,N0_ideal,ET-MPC_minus_TT-MPC,nrmse,50,-9.174515325580113e-06,0.00046747400554352983,-0.00014202915772704467,0.00012368012707588444,0.890196874790671,-0.019625722963810464,0.4,lower,True,network_metric:N0_ideal:nrmse,1.0
irrigation,N0_ideal,ET-MPC_minus_TT-MPC,violation_pct,50,0.00297619047619027,0.1220837926476293,-0.03171963950125868,0.037672020453639224,0.863848562283998,0.024378260305038646,0.1,lower,True,network_metric:N0_ideal:violation_pct,0.8699440119159758
irrigation,N0_ideal,ET-MPC_minus_TT-MPC,transmissions,50,-51.94,6.453633686157128,-53.77410240012717,-50.105897599872826,2.0129612201483304e-46,-8.04817913843017,1.0,lower,True,network_metric:N0_ideal:transmissions,4.025922440296661e-46
irrigation,N0_ideal,ET-MPC_minus_TT-MPC,total_modeled_energy_mj,50,-135.35215890351918,16.700325895823696,-140.0983390088662,-130.60597879817217,1.435195976729344e-46,-8.104761532669679,1.0,lower,True,network_metric:N0_ideal:total_modeled_energy_mj,2.870391953458688e-46
irrigation,N0_ideal,ET-MPC_minus_TT-MPC,command_applied_pct,50,0.0,0.0,0.0,0.0,,,0.0,higher,True,network_metric:N0_ideal:command_applied_pct,1.0
irrigation,N0_ideal,ET-MPC_minus_TT-MPC,deadline_miss_pct,50,0.0,0.0,0.0,0.0,,,0.0,lower,True,network_metric:N0_ideal:deadline_miss_pct,1.0
irrigation,N0_ideal,ET-PI_minus_TT-PI,nrmse,50,2.7884490785648476e-05,0.002594150466136756,-0.0007093649143731993,0.0007651338959444963,0.9397231598065418,0.010748987442958326,0.5,lower,True,network_metric:N0_ideal:nrmse,1.0
irrigation,N0_ideal,ET-PI_minus_TT-PI,violation_pct,50,0.04761904761904787,0.427755743041011,-0.07394778947344688,0.16918588471154264,0.4349720059579879,0.11132298839639987,0.26,lower,True,network_metric:N0_ideal:violation_pct,0.8699440119159758
irrigation,N0_ideal,ET-PI_minus_TT-PI,transmissions,50,-52.04,6.901523049890022,-54.001391148910045,-50.07860885108995,4.6684247831158526e-45,-7.5403645867457145,1.0,lower,True,network_metric:N0_ideal:transmissions,4.6684247831158526e-45
irrigation,N0_ideal,ET-PI_minus_TT-PI,total_modeled_energy_mj,50,-138.32756988674936,17.177761094674644,-143.20943557431278,-133.44570419918594,1.9589675236348216e-46,-8.05271240671946,1.0,lower,True,network_metric:N0_ideal:total_modeled_energy_mj,2.870391953458688e-46
irrigation,N0_ideal,ET-PI_minus_TT-PI,command_applied_pct,50,0.0,0.0,0.0,0.0,,,0.0,higher,True,network_metric:N0_ideal:command_applied_pct,1.0
irrigation,N0_ideal,ET-PI_minus_TT-PI,deadline_miss_pct,50,0.0,0.0,0.0,0.0,,,0.0,lower,True,network_metric:N0_ideal:deadline_miss_pct,1.0
irrigation,N1_nominal,ET-MPC_minus_TT-MPC,nrmse,50,6.82928877676836e-05,0.00037354113310140286,-3.786632765804698e-05,0.00017445210319341417,0.20215245631344955,0.1828256160189581,0.36,lower,True,network_metric:N1_nominal:nrmse,0.5963962289676422
irrigation,N1_nominal,ET-MPC_minus_TT-MPC,violation_pct,50,-0.01785714285714317,0.10257090205624858,-0.047007470686889506,0.01129318497260317,0.2241835324953237,-0.17409560118083525,0.08,lower,True,network_metric:N1_nominal:violation_pct,0.5034399327504375
irrigation,N1_nominal,ET-MPC_minus_TT-MPC,transmissions,50,-53.24,6.641121124924495,-55.12738574066981,-51.352614259330196,2.431987025691283e-46,-8.016718713379182,1.0,lower,True,network_metric:N1_nominal:transmissions,2.431987025691283e-46
irrigation,N1_nominal,ET-MPC_minus_TT-MPC,total_modeled_energy_mj,50,-154.6299839979068,19.344376159305153,-160.1275948739079,-149.13237312190572,2.7968984848028352e-46,-7.993536866968218,1.0,lower,True,network_metric:N1_nominal:total_modeled_energy_mj,2.7968984848028352e-46
