plant,policy,network,seed,forecast,trigger_delta,model_scale,fallback,random_tape_sha256,config_sha256,preregistration_sha256,nrmse,violation_pct,transmissions,command_applied_pct,deadline_miss_pct,tx_energy_mj,rx_energy_mj,listen_energy_mj,retry_energy_mj,compute_energy_mj,baseline_energy_mj,actuation_energy_mj,total_modeled_energy_mj,status,setting_id
greenhouse,ET-MPC,N0_ideal,2026,persistence,0.07,1.0,hold,2564ec262680c54cab5340f94cc6b063c0ce70a9bc3307497488c42d1093c14d,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3959031890056612,43.05555555555556,40,100.0,0.0,48.00030720025282,32.000000000000014,24.000000000000014,0.0,0.16000000000000011,86.39999999999954,647.9999999999998,838.5603072002522,completed,trigger_0.07
greenhouse,ET-MPC,N0_ideal,2027,persistence,0.07,1.0,hold,80d2e7d45ca3b1ca5cb60a994bc7018a037fde04e6c69e7cd6630c7f5def24e0,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3958193617062194,43.40277777777778,40,100.0,0.0,48.00030720003454,32.000000000000014,24.000000000000014,0.0,0.16000000000000011,86.39999999999954,652.7999999999997,843.3603072000338,completed,trigger_0.07
greenhouse,ET-MPC,N0_ideal,2028,persistence,0.07,1.0,hold,fbd194eca91ed9cc750fbc0294843522e4927131db41b8b7cc7e3cf6d6c4f674,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3947989646097382,43.40277777777778,39,100.0,0.0,46.80029952011576,31.200000000000017,23.400000000000013,0.0,0.1560000000000001,86.39999999999954,657.5999999999997,845.5562995201151,completed,trigger_0.07
greenhouse,ET-MPC,N0_ideal,2029,persistence,0.07,1.0,hold,4f5ec0020197f485916c8975041348decd66e067ef9cecc012ce4642b378da30,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.401363131060193,43.22916666666667,39,100.0,0.0,46.80029952011576,31.200000000000017,23.400000000000013,0.0,0.1560000000000001,86.39999999999954,638.3999999999999,826.3562995201153,completed,trigger_0.07
greenhouse,ET-MPC,N0_ideal,2030,persistence,0.07,1.0,hold,defb79333b79935e93b95595071e865bff5aaccd62fd3b08c2222714e1ae4f47,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3987451858394529,43.22916666666667,39,100.0,0.0,46.80029952026128,31.200000000000017,23.400000000000013,0.0,0.1560000000000001,86.39999999999954,650.3999999999997,838.3562995202606,completed,trigger_0.07
greenhouse,ET-MPC,N0_ideal,2031,persistence,0.07,1.0,hold,bd137e2eb90544ea17aaa2e6cc72b03e78a051a63acdee1b1a04e4a9434895c2,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3957704889969585,43.22916666666667,39,100.0,0.0,46.80029952011576,31.200000000000017,23.400000000000013,0.0,0.1560000000000001,86.39999999999954,655.1999999999997,843.156299520115,completed,trigger_0.07
greenhouse,ET-MPC,N0_ideal,2032,persistence,0.07,1.0,hold,e3d2b52ba24081c866cafe82cdd8f70ad37d97564597e35d3080623e3b65bf7c,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.39727875487244657,43.22916666666667,41,100.0,0.0,49.200314880098844,32.80000000000001,24.600000000000016,0.0,0.16400000000000012,86.39999999999954,650.3999999999997,843.5643148800982,completed,trigger_0.07
greenhouse,ET-MPC,N0_ideal,2033,persistence,0.07,1.0,hold,4088609eeada74ff2c4c9a9b5abd65fae56c47b9e98f5e32b2c5545cbf2c1b3e,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.39672066852864774,43.40277777777778,38,100.0,0.0,45.60029184019584,30.400000000000016,22.80000000000001,0.0,0.1520000000000001,86.39999999999954,652.7999999999997,838.1522918401952,completed,trigger_0.07
greenhouse,ET-MPC,N0_ideal,2034,persistence,0.07,1.0,hold,8e74299431c2b529d5c30240dcaaa4d62b0e11d1afd785e130ff9f101edef38a,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3975465804895742,43.40277777777778,39,100.0,0.0,46.80029952026014,31.200000000000017,23.400000000000013,0.0,0.1560000000000001,86.39999999999954,652.7999999999997,840.7562995202595,completed,trigger_0.07
greenhouse,ET-MPC,N0_ideal,2035,persistence,0.07,1.0,hold,be3a7ed2618c6b47d14916ed2570cf53e2993d3429b0fdd9c43e08afb239e55e,569714c2f054d7e589e1a1a495e488b7d47d406c61e9837ff2edbc5d46855c34,12ca0f6e05f585cf9d39f2c06178e7b8c550bd464b65480c0a93492d05bf5be9,0.3922614371537983,43.05555555555556,40,100.0,0.0,48.00030720003454,32.000000000000014,24.000000000000014,0.0,0.16000000000000011,86.39999999999954,659.9999999999997,850.5603072000338,completed,trigger_0.07
