scenario,method,n_seeds,rmse_mean,rmse_sd,rmse_ci95,iae_mean,iae_sd,iae_ci95,tx_energy_mj_mean,tx_energy_mj_sd,tx_energy_mj_ci95,baseline_energy_mj_mean,baseline_energy_mj_sd,baseline_energy_mj_ci95,total_modeled_energy_mj_mean,total_modeled_energy_mj_sd,total_modeled_energy_mj_ci95,tx_rate_pct_mean,tx_rate_pct_sd,tx_rate_pct_ci95,packet_loss_pct_mean,packet_loss_pct_sd,packet_loss_pct_ci95,violation_pct_mean,violation_pct_sd,violation_pct_ci95
Tokyo-Bernoulli,channel:persistence:0.05:1.3:0.85,20,3.297304572832411,0.11736676293313351,0.051438251802647474,733.6433671645502,46.22959879062944,20.261014991804338,1990.0,374.98070125779736,164.34253829954324,900.0,0.0,0.0,2890.0,374.98070125779736,164.34253829954324,33.27759197324415,6.27058028859193,2.7482029815977134,38.56086512374405,5.853367451654917,2.565351393760281,52.575250836120404,9.013199123390315,3.9502086831898824
Tokyo-Burst,channel:persistence:0.05:1.3:0.85,20,3.713609918899846,0.5702894950962909,0.24994039126631049,821.3950349706329,96.63330963298363,42.35141524910677,2221.0,303.0702541447584,132.82639528426014,900.0,0.0,0.0,3121.0,303.0702541447584,132.82639528426014,37.14046822742475,5.068064450581244,2.2211771786665575,43.56867286830987,7.580553408777555,3.322324014902495,56.70568561872909,7.414033222215047,3.249343325373671
Mekong-Synthetic,model:persistence:0.05:1.0:0.8,20,1.0306650112174913,0.05652017398415566,0.024771058421222684,239.6130699083128,14.251259088135376,6.245889680862343,1277.0,101.830612706644,44.62923375169193,900.0,0.0,0.0,2177.0,101.830612706644,44.62923375169193,21.354515050167223,1.70285305529505,0.7463082567172562,23.861444562045033,4.659561046200998,2.0421426679446317,6.120401337792641,1.9893045009930694,0.8718511380646929
Tokyo-Bernoulli,model:persistence:0.05:1.0:0.8,20,7.700904240523255,0.06000047754479496,0.026296368708631796,2278.7672346517234,12.935323860225504,5.6691556386380855,541.0,144.72842080764124,63.43002709160784,900.0,0.0,0.0,1441.0,144.72842080764124,63.43002709160784,9.046822742474916,2.420207705813399,1.0607027941740443,27.661043196016756,7.594762244718391,3.328551311819286,100.0,0.0,0.0
Tokyo-Burst,model:persistence:0.05:1.0:0.8,20,7.677965366497138,0.03693681910375013,0.016188274724165237,2274.717234646936,10.448286571083706,4.579163488182905,508.0,105.51128650029516,46.2423601655907,900.0,0.0,0.0,1408.0,105.51128650029516,46.2423601655907,8.494983277591974,1.7644027842858723,0.7732836148092092,15.261509753358421,11.503546335088036,5.041651471164783,100.0,0.0,0.0
Mekong-Synthetic,model:persistence:0.05:1.0:0.85,20,1.1541328239735598,0.06725045022914396,0.029473809333047107,207.11661603639828,15.046891830616238,6.594591104735454,1182.0,106.4053817396371,46.634214681362096,900.0,0.0,0.0,2082.0,106.4053817396371,46.634214681362096,19.765886287625413,1.7793542096929276,0.779836365909065,29.888397320755843,5.984655509745476,2.6228909221750696,6.471571906354515,1.40759206084485,0.6169044203970685
Tokyo-Bernoulli,model:persistence:0.05:1.0:0.85,20,3.2210805111485454,0.11340294597206185,0.04970103242428419,701.960285845226,37.04738561447859,16.2367326340339,1895.0,164.26871438687218,71.9939383413266,900.0,0.0,0.0,2795.0,164.26871438687218,71.9939383413266,31.688963210702344,2.7469684680078963,1.203912012396766,29.275384399963137,5.276329132622458,2.3124531999924387,47.22408026755853,5.044924542961186,2.211035667005981
Tokyo-Burst,model:persistence:0.05:1.0:0.85,20,3.2100285832063933,0.3422816488387327,0.15001154671380718,681.9282643153588,43.99244086725993,19.280537301965268,1732.0,140.13527299306946,61.41699130576677,900.0,0.0,0.0,2632.0,140.13527299306946,61.41699130576677,28.963210702341136,2.343399213930928,1.0270399883907488,17.575239067232022,3.36704028496445,1.4756704681915114,44.61538461538461,5.194185594198576,2.2764522069701174
Mekong-Synthetic,model:persistence:0.05:1.0:0.9,20,2.015450669758354,0.11984781992841397,0.052525622973757166,464.19538339335776,27.828508634753042,12.196381655870542,1722.0,106.80035481904396,46.807319265709985,900.0,0.0,0.0,2622.0,106.80035481904396,46.807319265709985,28.795986622073578,1.7859591106863542,0.7827310913998328,27.546613710001537,3.5690282188646387,1.5641955833552805,29.849498327759193,3.5970059446457436,1.5764573623089508
Tokyo-Bernoulli,model:persistence:0.05:1.0:0.9,20,2.6942784646404805,0.8740722772412247,0.3830790657152464,398.12381990333887,100.65088913829204,44.11219710136718,1970.0,95.25588806224167,41.747733628999484,900.0,0.0,0.0,2870.0,95.25588806224167,41.747733628999484,32.94314381270904,1.5929078271277866,0.698122635936446,29.547707267265906,3.7571721702966694,1.6466533056869386,13.812709030100333,2.9459828524189535,1.291133912037272
Tokyo-Burst,model:persistence:0.05:1.0:0.9,20,2.3775983295785723,0.5818206430046868,0.25499413966033896,351.4170534774047,67.873100757401,29.746697958899258,1770.0,83.72888579092327,36.69580214052885,900.0,0.0,0.0,2670.0,83.72888579092327,36.69580214052885,29.598662207357865,1.40014859182146,0.6136421762630245,17.00042102374927,5.763934775944099,2.5261557954696605,11.020066889632107,2.5803208618298914,1.1308754787592459
