record_id,route,url,outcome,detail
S21,diva_kth,http://kth.diva-portal.org/smash/get/diva2:586202/FULLTEXT01.pdf,HTTP_-1,
S22,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S23,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S24,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S25,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S26,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S27,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S28,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S29,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S31,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S32,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S37,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S39,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S47,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S49,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S50,dergipark,https://dergipark.org.tr/tr/download/article-file/587896,HTTP_-1,
S50,dergipark,https://dergipark.org.tr/en/download/article-file/587896,HTTP_-1,
S51,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S56,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S62,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S64,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S65,pass3,,NO_NEW_CANDIDATE,arXiv/DOAJ/repository routes returned no new lawful candidate
S44,mdpi_static,https://mdpi-res.com/d_attachment/actuators/actuators-14-00413/article_deploy/actuators-14-00413.pdf,OK_PDF,pass4 mdpi static mirror for previously reviewed record
S45,mdpi_static,https://mdpi-res.com/d_attachment/agronomy/agronomy-15-00366/article_deploy/agronomy-15-00366.pdf,OK_PDF,pass4 mdpi static mirror for previously reviewed record
S46,mdpi_static,https://mdpi-res.com/d_attachment/sensors/sensors-20-01827/article_deploy/sensors-20-01827.pdf,OK_PDF,pass4 mdpi static mirror for previously reviewed record
S52,mdpi_static,https://mdpi-res.com/d_attachment/sensors/sensors-20-06865/article_deploy/sensors-20-06865.pdf,OK_PDF,pass4 mdpi static mirror for previously reviewed record
